periodo,n_obs,id_pieza,id_matriz,pieza_real,pieza_teo,piezas,lote_real,lote_teo
62,1803,a08,m05,2.352,2.244,169,397.488,379.236
62,1804,a08,m04,2.352,2.244,932,2192.064,2091.408
63,1805,a13,m06,4.02,3.81,147,590.94,560.07
63,1806,a06,m05,3.228,3.378,116,374.448,391.848
63,1807,a18,m05,2.472,2.316,140,346.08,324.24
63,1808,a18,m06,2.382,2.316,515,1226.73,1192.74
63,1809,a18,m07,2.22,2.316,135,299.7,312.66
63,1810,a16,m02,1.488,1.458,562,836.256,819.396
63,1811,a05,m04,3.9,3.774,162,631.8,611.388
63,1812,a13,m05,3.828,3.81,271,1037.388,1032.51
63,1813,a05,m06,3.81,3.774,241,918.21,909.534
63,1814,a14,m07,2.61,2.682,703,1834.83,1885.446
63,1815,a17,m07,2.166,2.13,19,41.154,40.47
63,1816,a09,m08,5.802,5.85,38,220.476,222.3
63,1817,a17,m06,2.19,2.13,724,1585.56,1542.12
63,1818,a17,m07,2.172,2.13,532,1155.504,1133.16
63,1819,a02,m08,6.906,6.96,109,752.754,758.64
63,1820,a03,m15,5.136,5.382,13,66.768,69.966
63,1821,a18,m05,2.514,2.316,125,314.25,289.5
63,1822,a08,m04,2.382,2.244,650,1548.3,1458.6
63,1823,a08,m04,2.382,2.244,392,933.744,879.648
64,1824,a09,m08,5.784,5.85,6,34.704,35.1
64,1825,a03,m13,5.58,5.382,81,451.98,435.942
64,1826,a11,m03,4.326,4.26,99,428.274,421.74
64,1827,a15,m07,2.568,2.436,23,59.064,56.028
64,1828,a19,m01,1.47,1.422,2042,3001.74,2903.724
64,1829,a15,m07,2.556,2.436,288,736.128,701.568
64,1830,a20,m05,1.812,1.806,878,1590.936,1585.668
64,1831,a07,m05,2.142,2.226,612,1310.904,1362.312
64,1832,a17,m08,2.064,2.13,305,629.52,649.65
65,1833,a13,m08,3.9,3.81,14,54.6,53.34
65,1834,a13,m06,3.84,3.81,489,1877.76,1863.09
65,1835,a14,m08,2.652,2.682,73,193.596,195.786
65,1836,a14,m08,2.652,2.682,410,1087.32,1099.62
65,1837,a18,m05,2.52,2.316,590,1486.8,1366.44
65,1838,a08,m05,2.31,2.244,644,1487.64,1445.136
65,1839,a17,m08,2.064,2.13,236,487.104,502.68
65,1840,a02,m08,6.9,6.96,166,1145.4,1155.36
65,1841,a13,m07,3.84,3.81,14,53.76,53.34
65,1842,a16,m02,1.494,1.458,188,280.872,274.104
65,1843,a13,m05,3.948,3.81,16,63.168,60.96
65,1844,a13,m07,3.834,3.81,14,53.676,53.34
65,1845,a05,m04,3.786,3.774,276,1044.936,1041.624
65,1846,a06,m05,3.282,3.378,102,334.764,344.556
65,1847,a10,m05,6.3,6.078,200,1260,1215.6
65,1848,a09,m08,5.976,5.85,15,89.64,87.75
65,1849,a03,m13,5.442,5.382,350,1904.7,1883.7
65,1850,a13,m05,3.9,3.81,191,744.9,727.71
65,1851,a06,m05,3.282,3.378,27,88.614,91.206
65,1852,a01,m08,7.548,7.554,71,535.908,536.334
65,1853,a11,m03,4.38,4.26,146,639.48,621.96
65,1854,a11,m04,4.146,4.26,44,182.424,187.44
65,1855,a20,m07,1.68,1.806,117,196.56,211.302
65,1856,a20,m07,1.68,1.806,1056,1774.08,1907.136
65,1857,a19,m01,1.518,1.422,1532,2325.576,2178.504
